Название,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Сахалинская область,"1186,89","1194,7","1396,7","1570,45","1892,29","2160,58","2458,09","2902,63","3415,14","3464,37","4012,61","4023,79","4225,3","4544,69","5331,46","5355,82","5421,86","5275,14","5569,22","5816,96","6341,74","7438,56","8142,15"
Еврейская автономная область,"883,75","1014,59","1122,3","1341,65","1582,23","1762,84","1812,4","2142,93","2654,98","2941,87","3210,16","3281,55","3381,45",3783,"4390,57","4487,62","4693,68","4555,39","4885,21","5301,61","5790,45","6723,49","6884,56"
Чукотский автономный округ,"2335,28","2329,35",0,"3267,46","3750,2","4390,38","4924,82","5039,24","5696,99","6270,56","6298,16","6586,9","7345,43","7633,76","7837,91","8904,74","9149,75","10052,39","10171,27","10355,69","12133,37","12784,46","13793,18"
Крымский федеральный округ,,,,,,,,,,,,,,,"3183,26","3787,64",,,,,,,
Северный район,"818,82","980,95","1102,07","1211,96","1341,15","1489,07","1619,17","2091,21","2429,22","2514,49",,,,,,,,,,,,,
Северо-Западный район,"821,58","1003,99","1096,2","1195,58","1318,77","1458,82","1596,72","1966,35","2294,89","2399,07",,,,,,,,,,,,,
Центральный район,"803,07","1001,36","1116,68","1172,01","1326,95","1472,87","1551,23","1915,87","2199,11","2258,88",,,,,,,,,,,,,
Волго-Вятский район,"706,51","850,79","955,43","1018,39","1159,69","1274,96","1347,77","1744,46","1955,24","1920,56",,,,,,,,,,,,,
Центрально-Черноземный район,"672,33","827,59","918,84","953,88","1100,35","1230,09","1307,56","1682,62","1950,7","1946,62",,,,,,,,,,,,,
Поволжский район,"736,28","889,96","999,03","1027,64","1150,87","1298,32","1366,04","1741,12","1955,57","1948,38",,,,,,,,,,,,,
Северо-Кавказский район,"692,61","884,76","986,2","1025,14","1164,83","1338,48","1434,29","1782,77","2043,78","2082,7",,,,,,,,,,,,,
Уральский район,"777,67","890,52","996,75","1052,94","1168,74","1305,14","1405,62","1813,47","2056,64","2046,13",,,,,,,,,,,,,
Западно-Сибирский район,"800,79","894,96","1022,86","1109,17","1231,01","1408,49","1526,28","1868,33","2195,24","2183,64",,,,,,,,,,,,,
Восточно-Сибирский район,"883,32","985,14","1089,03","1244,84","1351,03","1511,18","1672,19","2012,69","2282,35","2336,1",,,,,,,,,,,,,
Дальневосточный район,"1050,83","1173,39","1271,3","1478,59","1735,21","1958,28","2137,62","2534,21","3001,32","3165,89",,,,,,,,,,,,,
