Название,Продукт,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Томская область,"Хлеб и булочные изделия из пшеничной муки высшего сорта, кг",,,"21,12","22,55","23,86","24,39","26,19","34,06","38,26","38,74","47,75","47,9","55,6","60,15","68,57",70,"72,13","74,93","82,95","85,11","92,33",,
Томская область,"Хлеб и булочные изделия из пшеничной муки 1 и 2 сортов, кг",,,"9,75","12,17","13,84","13,92","15,78","22,07","26,36","25,21","28,39","28,29","31,94","33,07","38,21","40,88","40,96","42,48","45,01","46,83","50,4",,
Томская область,"Булочные изделия сдобные из муки высшего сорта штучные, кг",,,"28,42","33,7","40,02","41,81","48,4","59,29","71,45","75,01","83,76","85,02","95,09","94,48","119,44","131,29","135,56","126,35","147,26","149,86","160,59","190,33","216,14"
Томская область,"Бараночные изделия, кг",,,"23,82","27,32","34,72","35,91","41,84","56,01","68,2","74,29","83,06","84,82","102,57","111,19","119,76","135,64","144,06","149,25","150,98","158,09","168,35","197,89","233,55"
Томская область,"Хлопья из злаков (сухие завтраки), кг",,,,,,,,,114,"121,71","144,59","149,36","157,5","219,89","234,58","254,21","271,81","297,58","323,38","322,26",339,"373,83","488,15"
Томская область,"Рис шлифованный, кг",,,"15,52","16,99","21,77","22,66","27,64","34,95","49,7","48,33","42,78","41,89","42,29","44,89","61,21","72,07","66,95","65,29","65,21","70,36","77,09","86,74","117,65"
Томская область,"Крупа манная, кг",,,"11,72","14,5","16,97","14,65","15,08","20,08","26,77","25,01","27,32","22,82","31,79","36,24","39,55","41,72","39,69","37,62","37,44","43,07","46,98","52,45","53,62"
Томская область,"Пшено, кг",,,"12,26","21,24","13,72","12,65","16,87","22,94","29,42","23,07","46,5","32,25","26,43","29,28","35,64","40,22","35,2","32,81","60,3","68,29","54,45","57,55","59,56"
Томская область,"Горох и фасоль, кг",,,"9,46","13,39","13,9","13,43","14,31","21,52","27,9","23,53","29,62","25,18","29,7","32,55","41,67","44,26","48,64","41,96",38,"41,59",49,"68,1","60,98"
Томская область,"Крупа гречневая-ядрица, кг",,,"21,83","22,86","20,8","22,21","24,29","25,66","26,25","23,61","89,79","52,56","40,25","30,05","66,66","63,23","78,57",48,"38,21","60,81","86,98","117,04","93,32"
